heading,line,cond_num,Hs,Tp,n_runs,static_kN,dyn_mean_kN,dyn_max_kN,dyn_std_kN
45deg,HL11,4,1.5000,3.2500,5,1207.2733,1207.3224,1260.4617,7.7356
45deg,HL11,5,1.8300,3.5900,5,1199.6831,1198.8160,1273.4609,9.9058
45deg,HL11,6,2.1700,3.9100,5,1190.7703,1188.3746,1308.6765,15.7237
45deg,HL11,7,2.5000,4.2000,5,1181.0484,1180.5010,1361.7285,29.9398
45deg,HL11,8,2.8300,4.4700,5,1169.5855,1172.6076,1422.1875,41.5330
45deg,HL11,9,3.1700,4.7200,5,1156.4725,1162.9681,1517.4312,51.0262
45deg,HL13,1,0.5000,2.0400,5,1223.4250,1223.5739,1228.8568,0.5420
45deg,HL13,2,0.8300,2.6300,5,1219.4532,1219.5406,1235.7808,2.0833
45deg,HL13,3,1.1700,3.1200,5,1213.6687,1214.0038,1247.3258,5.1988
45deg,HL13,4,1.5000,3.5300,5,1207.1972,1207.2974,1255.2664,5.8759
45deg,HL13,5,1.8300,3.9100,5,1199.5649,1198.8106,1283.5881,11.9745
45deg,HL13,6,2.1700,4.2500,5,1190.6178,1188.7038,1318.0535,20.3352
45deg,HL13,7,2.5000,4.5600,5,1180.6868,1178.5261,1357.4140,25.7364
45deg,HL13,8,2.8300,4.8600,5,1168.9593,1171.0537,1426.4294,36.6961
45deg,HL13,9,3.1700,5.1300,5,1155.5186,1159.0795,1549.9076,54.9598
45deg,HL15,1,0.5000,2.1900,5,1223.4041,1223.5569,1229.2967,0.6850
45deg,HL15,2,0.8300,2.8300,5,1219.4090,1219.5099,1236.7301,2.5631
45deg,HL15,3,1.1700,3.3500,5,1213.8712,1213.9705,1245.7781,4.2614
45deg,HL15,4,1.5000,3.8000,5,1207.1126,1207.2405,1261.1932,6.5847
45deg,HL15,5,1.8300,4.2000,5,1199.4791,1198.6218,1287.9905,15.1073
45deg,HL15,6,2.1700,4.5600,5,1190.3744,1186.3747,1313.3510,17.8677
45deg,HL15,7,2.5000,4.9000,5,1180.2237,1176.9609,1373.1200,31.3701
45deg,HL15,8,2.8300,5.2200,5,1168.2377,1165.8959,1443.4195,34.8637
45deg,HL15,9,3.1700,5.5200,5,1154.3119,1153.5990,1581.1592,60.4778
45deg,HL17,1,0.5000,2.3300,5,1223.3739,1223.5441,1229.6304,0.7879
45deg,HL17,2,0.8300,3.0100,5,1219.3685,1219.4912,1237.3733,2.8805
45deg,HL17,3,1.1700,3.5600,5,1213.8189,1213.9413,1243.4221,3.4968
45deg,HL17,4,1.5000,4.0400,5,1207.0594,1207.0642,1266.1788,9.0322
45deg,HL17,5,1.8300,4.4700,5,1199.3404,1198.5897,1287.6644,12.4567
45deg,HL17,6,2.1700,4.8600,5,1190.0875,1184.6384,1314.6141,17.8737
45deg,HL17,7,2.5000,5.2200,5,1179.7245,1172.3722,1368.0504,28.6371
45deg,HL17,8,2.8300,5.5500,5,1167.3922,1161.5466,1450.5550,37.9413
45deg,HL17,9,3.1700,5.8700,5,1154.1417,1152.5788,1562.0069,63.1214
45deg,HL19,1,0.5000,2.4700,5,1223.3719,1223.5327,1229.8703,0.8775
45deg,HL19,2,0.8300,3.1800,5,1219.3469,1219.4770,1237.4594,2.6856
45deg,HL19,3,1.1700,3.7700,5,1213.7785,1213.9116,1245.8960,3.4355
45deg,HL19,4,1.5000,4.2700,5,1207.0062,1206.8855,1266.7928,8.8787
45deg,HL19,5,1.8300,4.7200,5,1199.1609,1197.0207,1292.9909,15.3736
45deg,HL19,6,2.1700,5.1300,5,1189.7704,1181.5335,1308.0570,12.0069
45deg,HL19,7,2.5000,5.5200,5,1179.1507,1168.6190,1362.2043,27.3830
45deg,HL19,8,2.8300,5.8700,5,1166.3333,1156.5348,1468.3612,38.1792
45deg,HL19,9,3.1700,6.2100,5,1151.2718,1143.5668,1647.4874,98.7412
45deg,HL21,1,0.5000,2.5900,5,1223.3619,1223.5239,1230.0938,0.9160
45deg,HL21,2,0.8300,3.3500,5,1219.3258,1219.4658,1236.8893,2.2091
45deg,HL21,3,1.1700,3.9600,5,1213.7662,1213.8849,1248.2005,4.4983
45deg,HL21,4,1.5000,4.4900,5,1206.9110,1206.8917,1268.2983,9.1349
45deg,HL21,5,1.8300,4.9700,5,1198.9898,1193.5770,1283.9792,10.8451
45deg,HL21,6,2.1700,5.4000,5,1189.4008,1177.3756,1321.4989,18.0205
45deg,HL21,7,2.5000,5.8000,5,1178.4425,1165.2179,1363.4719,20.0009
45deg,HL21,8,2.8300,6.1700,5,1165.2107,1153.2043,1476.7795,49.4501
45deg,HL21,9,3.1700,6.5300,5,1149.6424,1140.5130,1698.5758,99.0229
45deg,HL23,1,0.5000,2.7100,5,1223.3512,1223.5166,1230.3360,0.9965
45deg,HL23,2,0.8300,3.5000,5,1219.3140,1219.4563,1236.9977,2.2406
45deg,HL23,3,1.1700,4.1500,5,1213.7448,1213.8719,1247.2702,4.0199
45deg,HL23,4,1.5000,4.7000,5,1206.8164,1206.1548,1271.1756,9.5746
45deg,HL23,5,1.8300,5.2000,5,1198.7898,1190.3564,1290.5289,13.1158
45deg,HL23,6,2.1700,5.6500,5,1188.9865,1173.7104,1322.1063,15.2651
45deg,HL23,7,2.5000,6.0700,5,1177.6709,1162.0659,1410.3990,36.2182
45deg,HL23,8,2.8300,6.4600,5,1164.0464,1150.5336,1528.5677,65.4165
45deg,HL23,9,3.1700,6.8300,5,1148.1287,1138.7680,1701.6157,84.7488
45deg,HL25,1,0.5000,2.8300,5,1223.3405,1223.5111,1230.5299,1.0996
45deg,HL25,2,0.8300,3.6500,5,1219.3044,1219.4461,1235.9501,1.7471
45deg,HL25,3,1.1700,4.3200,5,1213.7024,1213.8626,1252.2631,5.4993
45deg,HL25,4,1.5000,4.9000,5,1206.7297,1204.3990,1271.8057,9.7579
45deg,HL25,5,1.8300,5.4200,5,1198.5674,1185.4852,1289.7664,11.2647
45deg,HL25,6,2.1700,5.8900,5,1188.5002,1170.5877,1340.8775,25.4365
45deg,HL25,7,2.5000,6.3300,5,1176.8663,1159.6274,1429.9362,40.0992
45deg,HL25,8,2.8300,6.7400,5,1162.9240,1148.5537,1530.0546,62.2974
45deg,HL27,1,0.5000,2.9400,5,1223.3119,1223.5071,1230.8047,1.1696
45deg,HL27,2,0.8300,3.8000,5,1219.2922,1219.4371,1237.8231,2.2290
45deg,HL27,3,1.1700,4.4900,5,1213.6709,1213.8189,1253.2044,5.7731
45deg,HL27,4,1.5000,5.0900,5,1206.6341,1202.3224,1265.4844,7.0940
45deg,HL27,5,1.8300,5.6300,5,1198.3334,1180.9083,1290.5100,12.4880
45deg,HL27,6,2.1700,6.1200,5,1187.9919,1168.7501,1361.5108,30.9977
45deg,HL27,7,2.5000,6.5800,5,1176.0918,1158.1269,1440.0076,39.3132
45deg,HL29,1,0.5000,3.0500,5,1223.3107,1223.5036,1230.6751,1.0718
45deg,HL29,2,0.8300,3.9300,5,1219.2928,1219.4313,1238.0396,2.3863
45deg,HL29,3,1.1700,4.6600,5,1213.6377,1213.6919,1248.0954,2.4916
45deg,HL29,4,1.5000,5.2800,5,1206.5078,1198.9624,1270.7239,8.9259
45deg,HL29,5,1.8300,5.8400,5,1198.0377,1177.5960,1296.2005,16.4339
45deg,HL29,6,2.1700,6.3400,5,1187.4832,1167.2500,1352.7486,26.9565
45deg,HL29,7,2.5000,6.8100,5,1175.2025,1156.9072,1477.6581,47.1936
90deg,HL7,1,0.5000,1.5000,5,1222.2425,1222.1479,1231.3997,1.1267
90deg,HL7,2,0.8300,1.9300,5,1215.7642,1215.3788,1238.7185,1.6832
90deg,HL7,3,1.1700,2.2900,5,1206.2433,1206.0469,1258.2423,4.3374
90deg,HL7,4,1.5000,2.5900,5,1195.3965,1195.5134,1295.1784,8.4979
90deg,HL7,5,1.8300,2.8700,5,1181.6132,1191.4911,1387.1503,26.5830
90deg,HL7,6,2.1700,3.1200,5,1164.8049,1183.0298,1617.5943,87.3225
90deg,HL7,7,2.5000,3.3500,5,1146.3255,1170.4068,1980.6801,158.2575
90deg,HL7,8,2.8300,3.5600,5,1125.1673,1156.9970,2779.8708,350.2212
